Course,Course code,Subject,Subject code,Link
Bild,GRGRBIL01,Bild,BL,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRBIL01&tos=gr
Biologi,GRGRBIO01,Biologi,BI,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRBIO01&tos=gr
Engelska,GRGRENG01,Engelska,EN,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRENG01&tos=gr
Fysik,GRGRFYS01,Fysik,FY,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRFYS01&tos=gr
Geografi,GRGRGEO01,Geografi,GE,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRGEO01&tos=gr
Hem- och konsumentkunskap,GRGRHKK01,Hem- och konsumentkunskap,HKK,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRHKK01&tos=gr
Historia,GRGRHIS01,Historia,HI,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRHIS01&tos=gr
Idrott och hälsa,GRGRIDR01,Idrott och hälsa,IDH,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRIDR01&tos=gr
Kemi,GRGRKEM01,Kemi,KE,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRKEM01&tos=gr
Matematik,GRGRMAT01,Matematik,MA,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRMAT01&tos=gr
"Moderna språk, elevens val",GRGRMSP01_M1,"Moderna språk, elevens val",M1,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRMSP01&tos=gr
"Moderna språk, språkval",GRGRMSP01_M2,"Moderna språk, språkval",M2,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRMSP01&tos=gr
Modersmål,GRGRMOD01,Modersmål,ML,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRMOD01&tos=gr
Musik,GRGRMUS01,Musik,MU,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRMUS01&tos=gr
Religionskunskap,GRGRREL01,Religionskunskap,RE,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRREL01&tos=gr
Samhällskunskap,GRGRSAM01,Samhällskunskap,SH,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRSAM01&tos=gr
Slöjd,GRGRSLJ01,Slöjd,SL,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRSLJ01&tos=gr
Svenska,GRGRSVE01,Svenska,SV,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRSVE01&tos=gr
Svenska som andraspråk,GRGRSVA01,Svenska som andraspråk,SVA,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRSVA01&tos=gr
Teckenspråk,GRGRTSP01,Teckenspråk,TN,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRTSP01&tos=gr
Teknik,GRGRTEK01,Teknik,TK,https://www.skolverket.se/sitevision/proxy/undervisning/grundskolan/kursplaner-for-grundskolan/kursplan/svid12_6a3421f41969f369f2c9bd1/907561864/compulsorycw/jsp/subject.htm?subjectCode=GRGRTEK01&tos=gr
