"Course","Course code","Subject","Subject code","Link","Points","Levels"
"Administration - Nivå 1","ADMI1000X","Administration","ADMI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ADMI&courseCode=ADMI1000X&version=1&tos=gy&origin=gy2025","100","ADMI1000X,ADMI2000X"
"Administration - Nivå 2","ADMI2000X","Administration","ADMI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=ADMI&courseCode=ADMI2000X&version=1&tos=gy&origin=gy2025","100","ADMI1000X,ADMI2000X"
"Affärskommunikation - Nivå 1","AFFA1000X","Affärskommunikation","AFFA","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AFFA&courseCode=AFFA1000X&version=1&tos=gy&origin=gy2025","100","AFFA1000X"
"Akrobatik - Nivå 1","AKRO1000X","Akrobatik","AKRO","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AKRO&courseCode=AKRO1000X&version=1&tos=gy&origin=gy2025","100","AKRO1000X,AKRO2000X,AKRO3000X"
"Akrobatik - Nivå 2","AKRO2000X","Akrobatik","AKRO","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AKRO&courseCode=AKRO2000X&version=1&tos=gy&origin=gy2025","100","AKRO1000X,AKRO2000X,AKRO3000X"
"Akrobatik - Nivå 3","AKRO3000X","Akrobatik","AKRO","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AKRO&courseCode=AKRO3000X&version=1&tos=gy&origin=gy2025","100","AKRO1000X,AKRO2000X,AKRO3000X"
"Aktiviteter och upplevelser - Nivå 1","AKTI1000X","Aktiviteter och upplevelser","AKTI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AKTI&courseCode=AKTI1000X&version=1&tos=gy&origin=gy2025","100","AKTI1000X,AKTI2000X"
"Aktiviteter och upplevelser - Nivå 2","AKTI2000X","Aktiviteter och upplevelser","AKTI","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AKTI&courseCode=AKTI2000X&version=1&tos=gy&origin=gy2025","100","AKTI1000X,AKTI2000X"
"Aktivitetsledarskap - Nivå 1","AKTV1000X","Aktivitetsledarskap","AKTV","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AKTV&courseCode=AKTV1000X&version=1&tos=gy&origin=gy2025","100","AKTV1000X"
"Akut omhändertagande - Nivå 1","AKUT1000X","Akut omhändertagande","AKUT","https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/hitta-program-och-amnen-i-gymnasieskolan-gy25/amne-gy2025/svid12_467ba038192d14ade318a/907561864/syllabuscw/jsp/subject.htm?subjectCode=AKUT&courseCode=AKUT1000X&version=1&tos=gy&origin=gy2025","100","AKUT1000X"
