Item,Item code,Type,Parent code,Link
Barn- och fritidsprogrammet,BF,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=BF001&version=12&tos=gy
Fritid och hälsa,BFFRI,focus,BF,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=BF001&orientationCode=BFFRI&orientationName=Fritid+och+h%C3%A4lsa&a=BFFRI&tos=gy
Pedagogiskt och socialt arbete,BFPEA,focus,BF,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=BF001&orientationCode=BFPEA&orientationName=Pedagogiskt+och+socialt+arbete&a=BFPEA&tos=gy
Bygg- och anläggningsprogrammet,BA,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=BA001&version=15&tos=gy
Anläggningsfordon,BAANL,focus,BA,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=BA001&orientationCode=BAANL&orientationName=Anl%C3%A4ggningsfordon&a=BAANL&tos=gy
Husbyggnad,BAHUS,focus,BA,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=BA001&orientationCode=BAHUS&orientationName=Husbyggnad&a=BAHUS&tos=gy
Mark och anläggning,BAMAR,focus,BA,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=BA001&orientationCode=BAMAR&orientationName=Mark+och+anl%C3%A4ggning&a=BAMAR&tos=gy
Måleri,BAMAL,focus,BA,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=BA001&orientationCode=BAMAL&orientationName=M%C3%A5leri&a=BAMAL&tos=gy
Plåtslageri,BAPLA,focus,BA,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=BA001&orientationCode=BAPLA&orientationName=Pl%C3%A5tslageri&a=BAPLA&tos=gy
Ekonomiprogrammet,EK,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=EK001&version=6&tos=gy
Ekonomi,EKEKO,focus,EK,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=EK001&orientationCode=EKEKO&orientationName=Ekonomi&a=EKEKO&tos=gy
